  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:53:53      0.00      0.00
12:53:53      0.00      0.00
12:53:53      0.00      0.00
12:53:54      0.00      0.00
12:53:54      0.00      0.00
12:53:54      0.00      0.00
12:53:54      0.00      0.00
12:53:54      0.00      0.00
12:53:54      0.00      0.00
12:53:54      0.00      0.00
12:53:54      0.00      0.00
12:53:54      0.00      0.00
12:53:54      0.00      0.00
12:53:55      0.00      0.00
12:53:55      0.00      0.00
12:53:55      0.00      0.00
12:53:55      0.00      0.00
12:53:55      0.00      0.00
12:53:55      0.00      0.00
12:53:55      0.00      0.00
12:53:55      0.00      0.00
12:53:55      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:53:55      0.00      0.00
12:53:56      0.00      0.00
12:53:56      0.00      0.00
12:53:56      0.00      0.00
12:53:56      0.00      0.00
12:53:56      0.00      0.00
12:53:56      0.00      0.00
12:53:56      0.00      0.00
12:53:56      0.71      0.71
12:53:56      1.93      1.93
12:53:56      1.34      1.34
12:53:57      0.00      0.00
12:53:57      0.00      0.00
12:53:57      0.00      0.00
12:53:57      0.00      0.00
12:53:57      0.00      0.00
12:53:57      0.00      0.00
12:53:57      0.00      0.00
12:53:57      0.00      0.00
12:53:57      0.00      0.00
12:53:57      0.00      0.00
12:53:58      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:53:58      0.00      0.00
12:53:58      0.00      0.00
12:53:58      0.00      0.00
12:53:58      0.00      0.00
12:53:58      0.00      0.00
12:53:58      0.00      0.00
12:53:58      0.00      0.00
12:53:58      0.00      0.00
12:53:59      0.00      0.00
12:53:59      0.00      0.00
12:53:59      0.00      0.00
12:53:59      0.00      0.00
12:53:59      0.00      0.00
12:53:59      0.00      0.00
12:53:59      0.00      0.00
12:53:59      0.00      0.00
12:53:59      0.00      0.00
12:53:59      0.00      0.00
12:54:00      0.00      0.00
12:54:00      0.00      0.00
12:54:00      0.00      0.00
12:54:00      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:54:00      0.00      0.00
12:54:00      0.00      0.00
12:54:00      0.00      0.00
12:54:00      0.00      0.00
12:54:00      0.00      0.00
12:54:00      0.00      0.00
12:54:01      0.00      0.00
12:54:01      0.00      0.00
12:54:01      0.00      0.00
12:54:01      0.00      0.00
12:54:01      0.00      0.00
12:54:01      0.00      0.00
12:54:01      0.00      0.00
12:54:01      0.00      0.00
12:54:01      0.00      0.00
12:54:01      0.00      0.00
12:54:02      0.00      0.00
12:54:02      0.00      0.00
12:54:02      0.00      0.00
12:54:02      0.00      0.00
12:54:02      0.00      0.00
12:54:02      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:54:02      0.00      0.00
12:54:02      0.00      0.00
12:54:02      0.00      0.00
12:54:02      0.00      0.00
12:54:03      0.00      0.00
12:54:03      0.00      0.00
12:54:03      0.00      0.00
12:54:03      0.00      0.00
12:54:03      0.00      0.00
12:54:03      0.00      0.00
12:54:03      0.00      0.00
12:54:03      0.00      0.00
12:54:03      1.67      1.67
12:54:03      0.00      0.00
12:54:04      0.00      0.00
12:54:04      0.00      0.00
12:54:04      0.00      0.00
12:54:04      0.00      0.00
12:54:04     21.93     21.93
12:54:04      0.00      0.00
12:54:04      0.00      0.00
12:54:04      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:54:04      0.00      0.00
12:54:04      0.00      0.00
12:54:05      0.00      0.00
12:54:05      0.00      0.00
12:54:05      0.00      0.00
12:54:05      0.00      0.00
12:54:05      0.00      0.00
12:54:05      0.00      0.00
12:54:05      0.00      0.00
12:54:05      0.00      0.00
12:54:05      0.00      0.00
12:54:05      0.00      0.00
12:54:06      0.00      0.00
12:54:06      0.00      0.00
12:54:06      0.00      0.00
12:54:06      0.00      0.00
12:54:06      0.00      0.00
12:54:06      0.00      0.00
12:54:06      0.00      0.00
12:54:06      0.00      0.00
12:54:06      0.00      0.00
12:54:06      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:54:07      0.00      0.00
12:54:07      0.00      0.00
12:54:07      0.00      0.00
12:54:07      0.00      0.00
12:54:07      0.00      0.00
12:54:07      0.00      0.00
12:54:07      0.00      0.00
12:54:07      0.00      0.00
12:54:07      0.00      0.00
12:54:07      0.00      0.00
12:54:08      0.00      0.00
12:54:08      0.00      0.00
12:54:08      0.00      0.00
12:54:08      0.00      0.00
12:54:08      0.00      0.00
12:54:08      0.00      0.00
12:54:08      0.00      0.00
12:54:08      0.00      0.00
12:54:08      0.00      0.00
12:54:08      0.00      0.00
12:54:09      0.00      0.00
12:54:09      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:54:09      0.00      0.00
12:54:09      0.00      0.00
12:54:09      0.00      0.00
12:54:09      0.00      0.00
12:54:09      0.00      0.00
12:54:09      0.00      0.00
12:54:09      0.00      0.00
12:54:09      0.00      0.00
12:54:10      0.00      0.00
12:54:10      0.00      0.00
12:54:10      0.00      0.00
12:54:10      0.00      0.00
12:54:10      0.00      0.00
12:54:10      0.00      0.00
12:54:10      0.00      0.00
12:54:10      0.00      0.00
12:54:10  277683.3  277683.3
12:54:10  423712.4  423712.4
12:54:11      0.51      0.51
12:54:11      0.00      0.00
12:54:11      0.00      0.00
12:54:11      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:54:11      0.00      0.00
12:54:11      0.00      0.00
12:54:11      0.00      0.00
12:54:11     12.47     12.47
12:54:11      0.00      0.00
12:54:11      0.00      0.00
12:54:12      0.00      0.00
12:54:12      0.00      0.00
12:54:12      0.00      0.00
12:54:12      0.00      0.00
12:54:12      0.00      0.00
12:54:12      0.00      0.00
12:54:12      0.00      0.00
12:54:12      0.00      0.00
12:54:12      0.00      0.00
12:54:12      0.00      0.00
12:54:13      0.00      0.00
12:54:13      0.00      0.00
12:54:13      0.00      0.00
12:54:13      0.00      0.00
12:54:13      0.00      0.00
12:54:13      0.00      0.00
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
12:54:13      0.00      0.00
12:54:13      0.00      0.00
12:54:13      0.00      0.00
12:54:13      0.00      0.00
12:54:14      0.00      0.00
12:54:14      0.00      0.00
12:54:14      0.00      0.00
12:54:14      0.00      0.00
12:54:14      0.00      0.00
12:54:14      0.00      0.00
12:54:14      0.00      0.00
12:54:14      0.00      0.00
12:54:14      0.00      0.00
